HubID,CenterType,Latitude,Longitude,Status,HubName,hubzonename,cityname,statename,IsActive,pincode,AreaCode,country
5718,RSC,10.2146,79.11448,Approved,Thiruchittrambalam,South-2,PERAVURANI,TAMIL NADU,TRUE,614628,Thiruchittrambalam,India
6134,RSC,9.7765216,76.43845,Approved,THALAYOLAPARAMBU,South-2,Kottayam,KERALA,TRUE,686605,,India
4317,RSC,10.2908,77.44473,Approved,Sri Ramapuram,South-2,Sri Rampuram,TAMIL NADU,TRUE,624619,,India
6205,RSC,12.5165,78.0304,Approved,Rayakottai1,South-2,Rayakottai,TAMIL NADU,TRUE,625001,,India
4544,RSC,16.4941,74.7747,Approved,Raibag,South-2,Belguam,KARNATAKA,TRUE,591317,,India
2621,RSC,10.0874,76.5094,Approved,Pulluvazhi,South-2,PULLUVAZHI,KERALA,TRUE,683542,,India
6320,RSC,11.23525,78.03034,Approved,PUDUCHATRAM,South-2,Namakkal,TAMIL NADU,TRUE,637410,,India
1612,RSC,21.76,68.94,Approved,Perundurai1,South-2,Salem,TAMIL NADU,TRUE,638052,RSC/Perundurai1,India
5407,RSC,11.2733133,77.409633,Approved,Perumanallur,South-2,Tirupur,TAMIL NADU,TRUE,641666,,India
4396,RSC,10.503566,79.664918,Approved,Peravurani,South-2,PERAVURANI,TAMIL NADU,TRUE,614716,,India
3491,RSC,10.5496,76.3352,Approved,PATTIKKAD,South-2,PATTIKKAD,KERALA,TRUE,680652,,India
4247,RSC,9.610408,76.319489,Approved,Pathirappally,South-2,Pathirappally,KERALA,TRUE,690548,,India
5892,RSC,11.0652,78.00045,Approved,Paramathi,South-2,Salem,TAMIL NADU,TRUE,638182,,India
4428,RSC,9.3957,78.108,Approved,Panthalkudi,South-2,Panthalkudi,TAMIL NADU,TRUE,626113,,India
4629,RSC,10.9956,77.2852,Approved,Palladam,South-2,Palladam,TAMIL NADU,TRUE,642206,,India
4435,RSC,8.9077,78.021,Approved,Ottapidaram,South-2,Ottapidaram,TAMIL NADU,TRUE,628002,,India
2124,RSC,8.823397,76.883008,Approved,NILAMEL,South-2,Nilamel,KERALA,TRUE,695602,RSC/NILAMEL,India
4601,RSC,10.814953,71.710662,Approved,Needamangalam,South-2,Tiruvarur,TAMIL NADU,TRUE,614404,,India
2526,RSC,10.08707,76.291062,Approved,Muppathadam,South-2,Muppathadam,KERALA,TRUE,680614,,India
7055,RSC,10.214722,76.450944,Approved,Mukkanur,South-2,Manjapara,KERALA,TRUE,683581,,India
4853,RSC,11.315806,77.728283,Approved,Moolapalayam,South-2,ODDANCHATRAM,TAMIL NADU,TRUE,638002,,India
4406,RSC,14.2745,76.0798,Approved,Mayakonda,South-2,Mayakonda,KARNATAKA,TRUE,577534,,India
4539,RSC,10.9104,78.6998,Approved,Manachanallur,South-2,manachanallur,TAMIL NADU,TRUE,621009,,India
4368,RSC,11.8319,75.5655,Approved,Kuthuparamba2,South-2,Kuthuparamba,KERALA,TRUE,670643,,India
4105,RSC,10.147143,76.508114,Approved,KURUPPAMPADI,South-2,KURUPPAMPADI,KERALA,TRUE,683546,,India
2801,RSC,11.4408881,77.6954231,Approved,Kumarapalayam,South-2,KUMARAPALAYAM,TAMIL NADU,TRUE,638183,,India
3493,RSC,10.0603,76.6352,Approved,KOTHAMANGALAM,South-2,KOTHAMANGALM,KERALA,TRUE,686691,,India
3781,RSC,16.4173,75.6917,Approved,Korthi Kolhar,South-2,Korthi Kolar,KARNATAKA,TRUE,586210,,India
4947,RSC,10.77611,76.154371,Approved,Kootupatha,South-2,PALAKKAD,KERALA,TRUE,679533,,India
2444,RSC,9.9783,76.4739,Approved,Kolencherry,South-2,Kolenchery,KERALA,TRUE,682305,,India
4292,RSC,11.16553,77.45488,Approved,Kodumudi,South-2,Kodumudi,TAMIL NADU,TRUE,638104,,India
6218,RSC,9.090791,76.75571,Approved,KODUMON,South-2,Pathanamthitta,KERALA,TRUE,691526,,India
5727,RSC,10.276922,79.198279,Approved,Keeramangalam,South-2,Trichy,TAMIL NADU,TRUE,614804,,India
6247,RSC,9.034728,76.600343,Approved,KARUNAGAPALLI1,South-2,Karunagappally,KERALA,TRUE,690573,,India
2040,RSC,21,65,Approved,Karukutty,South-2,karukutty,KERALA,TRUE,683576,RSC/Karukutty,India
6368,RSC,10.22647114,76.374428,Approved,KARAYAMPARAMBU,South-2,karukutty,KERALA,TRUE,683576,,India
9129,RSC,9.2932,76.6441,Approved,KARAKKAD RSC,South-2,Pathanamthitta,KERALA,TRUE,689504,KARAKKAD,India
5365,RSC,8.893499,76.671397,Approved,Kannanalloor,South-2,MUKATHALA,KERALA,TRUE,691577,,India
3383,RSC,8.9727,76.6694,Approved,Kanjiracode,South-2,KANJIRACODE,TAMIL NADU,TRUE,629168,,India
6424,RSC,9.99977778,76.35219444,Approved,KAKANAD,South-2,Kakkanad,KERALA,TRUE,682037,,India
4173,RSC,11.52189,78.05118,Approved,KADAYAMPATTI,South-2,Omalur,TAMIL NADU,TRUE,636351,KADAYAMPATTI,India
4124,RSC,11.2143,11.2143,Approved,Jeyamkondam,South-2,JEYAMKONDAM,TAMIL NADU,TRUE,621802,,India
4337,RSC,17.2421679,82.3304057,Approved,NAGULAPALLE,South-1,NAGULAPALLE,ANDHRA PRADESH,TRUE,533444,,India
4420,RSC,14.8411,75.7168,Approved,Holala,South-2,Holala,KARNATAKA,TRUE,583217,,India
5819,RSC,12.02393,78.29132,Approved,Harur1,South-2,HARUR,TAMIL NADU,TRUE,636903,,India
5670,RSC,11.502995,76.491722,Approved,Gudalur,South-2,Gudalur,TAMIL NADU,TRUE,643212,,India
2837,RSC,8.2068,77.3281,Approved,ERANIEL,South-2,ERANIEL,TAMIL NADU,TRUE,629810,,India
4604,RSC,9.8235,76.3111,Approved,Eramalloor,South-2,Allapey,KERALA,TRUE,688537,,India
4663,RSC,11.640984,78.074394,Approved,Elampalli,South-2,Salem,TAMIL NADU,TRUE,637502,,India
3579,RSC,10.0822,76.3828,Approved,EDATHALA,South-2,EDATHALA,KERALA,TRUE,683112,,India
5975,RSC,10.025056,76.301722,Approved,EDAPALLY,South-2,Ernakulam,KERALA,TRUE,682033,,India
6059,RSC,16.8148,76.0638,Approved,Devarhipparagi,South-2,Bijapur,KARNATAKA,TRUE,586104,,India
5724,RSC,11.11269,79.172237,Approved,Dalmiyapuram,South-2,Trichy,TAMIL NADU,TRUE,621704,,India
6257,RSC,10.042056,76.321167,Approved,CUSAT,South-2,Ernakulam,KERALA,TRUE,683561,,India
5409,RSC,17.1182,77.083,Approved,Chitapur,South-2,SEDAM,KARNATAKA,TRUE,585222,,India
4564,RSC,16.7445547,77.610063,Approved,MADDURTG,South-1,MADDURTG,TELANGANA,TRUE,509210,,India
3318,RSC,10.0351,78.4637,Approved,Chettinadu,South-2,KARAIKUDI,TAMIL NADU,TRUE,630001,Chettinadu,India
